"Edat";"Sexe";"H";"Pes";"D2";"D4";"MO";"PC";"Envas";"Vidre";"Aspecte"
24;"M";185;88;72;74;"S";"S";"S";"S";"T"
21;"M";174;71;74;73;"S";"S";"S";"S";"E"
19;"M";185;68;72;74;"N";"N";"N";"N";"T"
33;"M";190;90;82;82;"S";"S";"S";"S";"E"
28;"M";176;76;75;76;"S";"S";"S";"S";"E"
57;"M";174;67;74;76;"S";"N";"N";"S";"E"
44;"M";164;67;75;75;"S";"S";"S";"S";"E"
20;"F";163;49;65;65;"S";"S";"S";"S";"T"
26;"F";168;63;78;83;"N";"S";"S";"N";"E"
67;"M";162;73;74;75;"S";"S";"S";"S";"E"
35;"F";165;73;68;70;"S";"S";"S";"S";"E"
19;"M";166;59;67;68;"S";"S";"S";"S";"T"
22;"F";161;55;66;70;"S";"S";"S";"S";"T"
21;"F";154;44;73;72;"N";"N";"N";"N";"T"
